DFO_SW;DFU_SW_1_1;DFU_SW_2_1;DFU_SW_3_1;DFU_SW_4_1;DFU_SW_5_1;DFU_SW_6_1;DFU_SW_7_1;DFU_SW_8_1;DFU_SW_8_2
;-16;-16;13;-28;20;-7;62;2;0
;-20;-10;-10;20;20;26;15;2;30
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-30;-25;-30;-35;50;-50;0;1;45
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;47;41;42;41;46;48;98;5;2
;;;;;;;;;
2;;;;;;;;;
;-15;-4;-7;-5;4;-6;1;5;0
;;;;;;;;;
;-13;-13;-10;10;10;-19;67;5;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-1;0;-1;-1;-2;-2;48;2;2
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-35;-16;-30;-40;37;-39;29;6;30
;;;;;;;;;
;1;1;1;1;1;1;51;0;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-17;-6;-37;-39;48;5;19;5;2
;;;;;;;;;
;1;1;-1;1;1;-5;51;5;0
;-36;-17;-24;-20;31;-14;25;5;30
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;6;2;19;11;-3;11;55;5;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;18;-15;10;16;-10;-4;35;2;3
;-17;-13;-9;-5;13;-5;19;3;0
2;;;;;;;;;
;-17;-4;-11;-24;5;-10;62;2;40
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-25;-20;-21;-20;50;-40;0;5;0
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-40;-10;-10;-10;41;36;5;4;0
;24;26;-25;-10;-27;-12;82;3;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-38;-8;-23;-34;31;-40;82;15;5
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-25;-18;-20;-25;30;-50;71;2;30
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-50;-10;-28;-50;23;-50;19;5;45
2;;;;;;;;;
;;;;;;;;;
;14;41;-14;-24;26;1;51;4;0
;-12;-8;-5;-10;10;11;65;5;0
2;;;;;;;;;
;;;;;;;;;
;-5;-5;-5;-5;12;0;15;6;30
;;;;;;;;;
2;;;;;;;;;
