DFO_WA;DFU_WA_1_1;DFU_WA_2_1;DFU_WA_3_1;DFU_WA_4_1;DFU_WA_5_1;DFU_WA_6_1;DFU_WA_7_1;DFU_WA_8_1;DFU_WA_8_2
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;-15;-10;-15;-20;10;-45;30;1;20
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;44;46;49;40;42;37;98;3;2
;;;;;;;;;
2;;;;;;;;;
;-4;-3;-2;-2;2;-14;35;2;5
;;;;;;;;;
;-9;-10;-14;-12;14;-11;74;0;30
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;1;1;3;1;1;1;4;2;2
2;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-5;-3;-10;-11;21;-7;83;1;30
;;;;;;;;;
;-5;-10;-10;-25;50;-20;80;1;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-7;-3;-3;-2;28;3;62;2;0
;;;;;;;;;
;1;1;1;1;1;1;51;5;0
;-6;-8;-12;-7;9;-7;78;1;0
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;31;15;20;24;17;20;60;5;0
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-18;19;-14;19;10;13;57;5;1
;-10;-10;-10;-10;20;-32;33;1;45
2;;;;;;;;;
;-8;6;-5;-10;28;-8;75;0;25
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-3;-5;-3;-5;50;-10;80;0;30
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-3;-3;-3;-3;3;-30;61;0;45
;-26;20;-8;-30;-19;15;87;2;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-25;-5;-21;-25;-5;-41;91;1;30
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-6;-1;-5;-15;12;-21;64;1;30
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-50;-6;-31;-50;50;-50;80;2;45
2;;;;;;;;;
;;;;;;;;;
;0;32;18;50;36;0;100;0;30
;0;-9;0;-15;0;-1;60;3;0
2;;;;;;;;;
;;;;;;;;;
;0;-1;-1;-1;2;0;82;0;15
;;;;;;;;;
1;;;;;;;;;
