DFO_CO;DFU_CO_1_1;DFU_CO_2_1;DFU_CO_3_1;DFU_CO_4_1;DFU_CO_5_1;DFU_CO_6_1;DFU_CO_7_1;DFU_CO_8_1;DFU_CO_8_2
;-20;-26;-20;-30;-12;-20;20;3;0
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;-40;-31;-40;-49;45;-50;0;5;0
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;40;45;43;44;41;41;86;5;2
;;;;;;;;;
2;;;;;;;;;
;-14;-3;-3;-2;2;-14;2;2;5
;;;;;;;;;
;-27;-10;-20;-20;25;-26;22;5;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;1;1;1;1;1;1;51;2;0
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-22;-11;-17;-24;-9;-31;34;3;25
;;;;;;;;;
;-20;-10;-20;-20;50;-30;20;5;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-20;-6;-26;-28;50;-8;23;5;10
;;;;;;;;;
;19;-35;33;-25;16;12;65;5;0
;-31;-5;-13;-19;24;-39;4;8;0
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;24;19;15;-21;26;26;25;15;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;11;17;-16;-12;-16;-11;59;4;2
;-14;-11;-9;-8;15;-32;0;2;0
2;;;;;;;;;
;-30;20;13;-41;15;-13;39;2;30
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-10;-20;-20;-20;50;-30;10;5;0
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-20;-10;-10;-10;10;-30;10;4;0
;-8;35;-21;-15;-38;-28;94;3;30
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-30;-5;-24;-23;27;-40;51;15;15
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-24;-13;-21;-28;25;-50;38;2;50
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;30;0;-12;-32;49;35;18;6;30
2;;;;;;;;;
;;;;;;;;;
;-27;26;-25;17;49;23;85;4;0
;0;0;0;0;4;0;70;1;0
2;;;;;;;;;
;;;;;;;;;
;-5;-5;-5;-5;5;0;5;6;30
;;;;;;;;;
2;;;;;;;;;
