DFO_CA;DFU_CA_1_1;DFU_CA_2_1;DFU_CA_3_1;DFU_CA_4_1;DFU_CA_5_1;DFU_CA_6_1;DFU_CA_7_1;DFU_CA_8_1;DFU_CA_8_2
;-5;10;-15;-20;-20;-30;15;2;30
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-45;-40;-45;-50;48;-50;38;6;30
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;40;42;31;43;45;50;95;3;2
;;;;;;;;;
2;;;;;;;;;
;-4;-4;-1;-3;1;-12;88;2;5
;;;;;;;;;
;-18;10;-26;-26;10;-23;58;5;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;1;1;1;1;1;1;51;5;5
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-40;-5;-30;-50;34;-50;24;6;0
;;;;;;;;;
;-50;-41;-50;-50;50;-50;30;10;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-27;-18;-31;-49;44;-26;60;8;20
;;;;;;;;;
;1;1;1;1;1;1;51;5;0
;-40;-25;-20;-20;35;-26;77;15;0
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;21;15;-14;-30;-18;14;82;10;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-15;13;-10;17;10;-14;39;5;2
;-17;-15;-7;-5;18;-32;34;2;0
2;;;;;;;;;
;-9;-10;-12;-44;25;-36;41;4;30
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-21;-21;-19;-21;25;-30;60;5;0
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-35;-10;-10;-10;20;30;20;3;0
;5;-27;-11;-24;27;18;79;3;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-25;-5;-10;-25;-15;-38;77;3;30
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-36;-17;-14;-43;30;-50;20;5;0
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-50;-26;-35;-50;47;-50;44;20;45
2;;;;;;;;;
;;;;;;;;;
;-16;-19;16;-7;-25;-1;48;3;0
;0;6;7;0;-2;0;58;4;0
2;;;;;;;;;
;;;;;;;;;
;0;-6;-5;-5;0;0;6;3;0
;;;;;;;;;
2;;;;;;;;;
