DFO_SU;DFU_SU_1_1;DFU_SU_2_1;DFU_SU_3_1;DFU_SU_4_1;DFU_SU_5_1;DFU_SU_6_1;DFU_SU_7_1;DFU_SU_8_1;DFU_SU_8_2
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;-40;-31;-40;-49;40;-50;5;5;0
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;31;46;32;34;32;31;88;5;3
;;;;;;;;;
1;;;;;;;;;
;-14;-2;-3;-4;37;-14;14;5;0
;;;;;;;;;
;-22;-10;-13;-19;39;-14;25;5;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;9;10;18;10;14;1;0;3;0
1;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-32;-3;-19;-45;47;-36;8;5;0
;;;;;;;;;
;-5;-5;-10;-10;50;-10;71;3;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-15;-10;-12;-10;50;5;18;5;20
;;;;;;;;;
;-31;-18;-21;-15;-32;-12;34;5;0
;-25;-17;-20;-26;47;-22;16;8;0
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-10;0;13;15;8;17;83;15;0
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-14;-17;17;18;12;15;33;5;1
;-15;-13;-9;-7;45;-16;0;1;30
1;;;;;;;;;
;-9;-12;50;12;-7;-7;41;2;30
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-5;-5;-5;-5;50;-5;24;2;0
2;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;-35;-10;-10;-10;40;-20;10;4;0
;-16;-25;-25;7;27;-10;74;1;30
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-25;-4;-23;-25;-14;-39;51;1;5
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;0;0;0;0;0;39;22;2;0
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;17;4;6;10;50;5;18;3;0
1;;;;;;;;;
;;;;;;;;;
;-21;32;2;-40;-38;-33;50;5;0
;-10;5;0;-10;10;-10;60;4;0
1;;;;;;;;;
;;;;;;;;;
;-2;-5;-2;-3;50;10;1;2;30
;;;;;;;;;
1;;;;;;;;;
