DFO_SO;DFU_SO_1_1;DFU_SO_2_1;DFU_SO_3_1;DFU_SO_4_1;DFU_SO_5_1;DFU_SO_6_1;DFU_SO_7_1;DFU_SO_8_1;DFU_SO_8_2
;-2;8;-4;-10;19;-19;80;0;30
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;-30;-25;-30;-35;45;-50;20;1;30
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;39;40;36;45;40;31;88;5;1
;;;;;;;;;
2;;;;;;;;;
;-15;-2;-1;-2;1;-13;83;2;5
;;;;;;;;;
;-1;-1;-2;-2;11;-3;81;0;30
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;1;4;5;7;6;5;55;3;3
2;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-8;-3;-8;-13;21;-15;70;2;0
;;;;;;;;;
;-20;-20;-30;-35;50;-30;35;3;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-19;-10;-14;-16;30;29;45;2;30
;;;;;;;;;
;1;2;1;1;1;1;51;5;0
;-28;-11;-14;-33;21;-29;30;3;30
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-32;20;-33;19;22;-20;37;10;0
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-16;-11;15;12;-13;-21;44;5;4
;-16;-12;-10;-8;9;-19;41;1;45
2;;;;;;;;;
;-9;15;-15;-25;-10;-15;65;3;30
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-10;-10;-15;-10;35;-15;46;1;0
2;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-30;-10;-10;-10;15;25;20;1;30
;12;-20;1;-18;-20;-16;74;1;45
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-26;-6;-21;-23;1;-30;87;1;30
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-7;-3;-15;-20;26;-41;70;1;0
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-50;-17;-29;-50;50;-50;87;3;20
2;;;;;;;;;
;;;;;;;;;
;50;39;-14;-25;50;28;72;0;45
;-10;-5;-5;-10;0;-10;60;5;0
2;;;;;;;;;
;;;;;;;;;
;-2;-2;-2;-1;1;-2;59;0;30
;;;;;;;;;
2;;;;;;;;;
