AFO_MN;AFU_MN_1_1;AFU_MN_2_1;AFU_MN_3_1;AFU_MN_4_1;AFU_MN_5_1;AFU_MN_6_1;AFU_MN_7_1;AFU_MN_8_1;AFU_MN_8_2
;-12;-8;-8;18;-8;-12;66;5;30
;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-16;-11;-11;-5;45;-28;29;3;0
;-5;-8;-6;-6;50;0;46;0;30
1;;;;;;;;;
;;;;;;;;;
;-12;-6;-7;-9;50;-7;86;5;30
1;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-40;50;-25;-50;50;-35;55;3;0
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-5;-8;-8;-7;50;-7;60;3;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
;-20;-9;-3;-5;37;-20;89;10;0
;-18;-23;-33;-21;44;-50;80;10;0
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-21;-11;-19;-34;20;-30;87;10;0
;;;;;;;;;
;23;19;22;18;11;19;72;20;0
1;;;;;;;;;
;-10;-9;-9;-9;19;-30;63;2;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;-16;-2;-20;-26;32;-27;70;10;0
;;;;;;;;;
;-16;-14;-13;-17;35;-21;74;2;25
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;33;40;38;49;42;44;85;7;3
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;28;28;15;8;18;13;55;10;0
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;1;1;0;1;50;34;80;2;0
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-15;-9;-16;-24;35;-23;85;5;0
;;;;;;;;;
2;;;;;;;;;
;-35;-2;-14;-8;46;-17;83;5;0
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-50;-20;-31;-50;50;-50;71;5;0
1;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
;-39;-5;-22;-42;48;-48;75;2;0
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
