DFO_SP;DFU_SP_1_1;DFU_SP_2_1;DFU_SP_3_1;DFU_SP_4_1;DFU_SP_5_1;DFU_SP_6_1;DFU_SP_7_1;DFU_SP_8_1;DFU_SP_8_2
;-25;-20;-25;-30;25;-35;50;1;15
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;42;46;44;44;41;46;95;5;2
;;;;;;;;;
1;;;;;;;;;
;-2;-2;-1;-2;0;-14;41;2;5
;;;;;;;;;
;-1;-1;0;0;0;0;88;0;2
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-1;-1;-1;-1;-1;-1;49;2;2
2;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;-10;0;-5;-10;10;-6;81;1;10
;;;;;;;;;
;-15;-6;2;-15;15;-19;67;0;30
;;;;;;;;;
2;;;;;;;;;
;;;;;;;;;
;1;1;0;-2;28;-2;80;1;0
;;;;;;;;;
;-19;-27;-16;-20;-18;-22;21;5;0
;-3;-3;-2;-6;14;0;74;0;40
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;23;27;36;12;24;13;62;10;0
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;16;10;-10;13;-15;-19;41;2;1
;-13;-11;-6;-5;21;-10;55;1;0
1;;;;;;;;;
;-5;0;0;-10;32;-6;61;0;5
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;;;;;;;;;
;0;-1;0;0;50;1;71;0;15
2;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;-1;-1;-1;-1;20;30;77;0;30
;-19;-14;-30;-6;-26;-12;77;1;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-18;-3;-14;-17;11;-15;83;0;30
1;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;-2;-3;-5;-13;8;-5;59;0;10
2;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1;;;;;;;;;
;30;-8;-30;-50;50;-50;92;3;0
2;;;;;;;;;
;;;;;;;;;
;1;0;1;1;0;1;100;0;30
;20;0;0;10;0;20;70;1;0
1;;;;;;;;;
;;;;;;;;;
;0;0;0;0;5;0;20;0;15
;;;;;;;;;
1;;;;;;;;;
